student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,95.59,14.34,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.66,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
10,91.18,13.68,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-16.32,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,85.29,12.79,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-17.21,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
13,94.12,14.12,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.88,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
14,88.24,13.24,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-16.76,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,97.06,14.56,0.0,0.0,0.0,0.0,-38.18,-22.91,1,11,-8.35,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-38.18 < 50,НЕТ
